ckpt_file,frames_value,command,wp_landlord,wp_farmers,adp_landlord,adp_farmers,Average consecutive plays per game,Average counter big cards per game,Average successful coordination per game,Average bomb/rocket plays per game
landlord_down_weights_8352000.ckpt,8352000,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_8352000.ckpt,0.5525,0.4475,0.4074,-0.4074,9.46,5.46,11.14,0.04
landlord_down_weights_16691200.ckpt,16691200,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_16691200.ckpt,0.5439,0.4561,0.3522,-0.3522,9.33,5.45,11.08,0.04
landlord_down_weights_25033600.ckpt,25033600,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_25033600.ckpt,0.5407,0.4593,0.3068,-0.3068,9.30,5.47,11.06,0.04
landlord_down_weights_33372800.ckpt,33372800,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_33372800.ckpt,0.536,0.464,0.3198,-0.3198,9.11,5.45,11.02,0.04
landlord_down_weights_41712000.ckpt,41712000,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_41712000.ckpt,0.5371,0.4629,0.3444,-0.3444,9.14,5.46,11.04,0.04
landlord_down_weights_50048000.ckpt,50048000,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_50048000.ckpt,0.532,0.468,0.3002,-0.3002,9.10,5.50,11.06,0.04
landlord_down_weights_58393600.ckpt,58393600,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_58393600.ckpt,0.521,0.479,0.2226,-0.2226,8.92,5.42,10.83,0.04
landlord_down_weights_66736000.ckpt,66736000,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_66736000.ckpt,0.5228,0.4772,0.2584,-0.2584,8.93,5.47,10.90,0.03
landlord_down_weights_75075200.ckpt,75075200,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_75075200.ckpt,0.5272,0.4728,0.2688,-0.2688,8.87,5.49,11.01,0.03
landlord_down_weights_83424000.ckpt,83424000,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_83424000.ckpt,0.5186,0.4814,0.2086,-0.2086,8.82,5.47,10.90,0.03
landlord_down_weights_91772800.ckpt,91772800,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_91772800.ckpt,0.5208,0.4792,0.2328,-0.2328,8.90,5.51,10.96,0.04
landlord_down_weights_100115200.ckpt,100115200,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_100115200.ckpt,0.5101,0.4899,0.1716,-0.1716,8.82,5.50,10.81,0.03
landlord_down_weights_108460800.ckpt,108460800,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_108460800.ckpt,0.5079,0.4921,0.1914,-0.1914,8.84,5.47,10.78,0.04
landlord_down_weights_116812800.ckpt,116812800,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_116812800.ckpt,0.5017,0.4983,0.0974,-0.0974,8.88,5.53,10.79,0.03
landlord_down_weights_125155200.ckpt,125155200,python3 evaluate.py --landlord baselines/sl/landlord.ckpt --landlord_up baselines/sl/landlord_up.ckpt --landlord_down ./douzero_checkpoints/douzero_2/landlord_down_weights_125155200.ckpt,0.4968,0.5032,0.1,-0.1,8.90,5.46,10.69,0.04
